gene_id	RBP_only_corr	RBP_and_lncRNA_corr
ENSG00000213445	0.06977	0.15906
ENSG00000175197	0.03086	0.02374
ENSG00000204469	0.27439	0.30087
ENSG00000101940	0.23895	0.25316
ENSG00000126458	0.54709	0.58057
ENSG00000105707	0.07394	0.08037
ENSG00000126368	0.16277	0.28029
ENSG00000183087	0.24027	0.28242
ENSG00000187193	0.10234	0.10903
ENSG00000160799	0.05106	0.14892
ENSG00000147251	0.18758	0.25596
ENSG00000163932	0.34132	0.35437
ENSG00000143545	0.47904	0.48811
ENSG00000197933	0.13341	0.19135
ENSG00000122257	0.45042	0.46459
ENSG00000136997	0.28254	0.29087
ENSG00000132323	0.13599	0.19614
ENSG00000102226	0.1813	0.18862
ENSG00000123358	0.00749	-0.0179
ENSG00000117318	0.2067	0.25328
ENSG00000027697	0.08225	0.11801
ENSG00000157873	0.16751	0.1869
ENSG00000125503	0.11752	0.14126
ENSG00000070047	0.22316	0.23577
ENSG00000174718	0.41435	0.40745
ENSG00000174938	0.24698	0.30035
ENSG00000116871	0.52109	0.52484
ENSG00000114315	0.1359	0.27956
ENSG00000008869	0.5583	0.56042
ENSG00000120129	0.38643	0.37909
ENSG00000156983	0.21353	0.23895
ENSG00000065154	0.13827	0.2012
ENSG00000008405	0.3048	0.29593
ENSG00000079432	0.23146	0.22421
ENSG00000125968	0.4239	0.41011
ENSG00000157613	0.2684	0.26181
ENSG00000168216	0.20481	0.25605
ENSG00000162736	0.0893	0.15843
ENSG00000172216	0.27587	0.34006
ENSG00000116266	0.08318	0.0773
ENSG00000196422	0.21138	0.28788
ENSG00000060069	0.08582	0.18775
ENSG00000177728	0.23603	0.23214
ENSG00000131669	0.27095	0.29327
ENSG00000115738	0.19354	0.19423
ENSG00000119139	0.27061	0.32912
ENSG00000169242	0.09561	0.23666
ENSG00000175130	0.30922	0.30612
ENSG00000072182	0.13904	0.14015
ENSG00000177303	0.28548	0.27993
ENSG00000100109	0.14863	0.19061
ENSG00000142655	0.43934	0.44789
ENSG00000083857	0.29185	0.35019
ENSG00000141582	0.11228	0.10305
ENSG00000126705	0.47408	0.47124
ENSG00000179431	0.38377	0.38484
ENSG00000120075	0.00872	0.04776
ENSG00000121104	0.35455	0.3728
ENSG00000168758	0.16632	0.155
ENSG00000167716	0.06237	0.05272
ENSG00000160271	0.32254	0.32745
ENSG00000072071	0.25414	0.24001
ENSG00000152804	0.06924	0.1119
ENSG00000175556	-0.01651	0.09715
ENSG00000020256	0.11655	0.22373
ENSG00000165359	0.21547	0.3026
ENSG00000116580	0.35388	0.37376
ENSG00000198793	0.32437	0.32873
ENSG00000139182	0.28678	0.28572
ENSG00000185236	0.23523	0.22974
ENSG00000115310	0.42616	0.44076
ENSG00000127870	0.13805	0.19775
ENSG00000128917	0.176	0.18869
ENSG00000065526	0.47812	0.48489
ENSG00000130827	0.28559	0.27531
ENSG00000143862	0.04827	0.04604
ENSG00000106537	-0.16176	0.00314
ENSG00000100906	0.09727	0.11389
ENSG00000101474	0.30658	0.44309
ENSG00000110514	0.33655	0.36101
ENSG00000147364	0.28573	0.2813
ENSG00000164695	0.08591	0.23249
ENSG00000175348	0.28531	0.37845
ENSG00000172071	0.29984	0.28388
ENSG00000052841	0.11513	0.11806
ENSG00000148296	0.17923	0.16898
ENSG00000188313	0.10033	0.22204
ENSG00000105856	0.11948	0.21548
ENSG00000102100	0.24639	0.37054
ENSG00000162909	0.47412	0.49634
ENSG00000043355	0.13504	0.1342
ENSG00000132002	0.20816	0.30853
ENSG00000103326	0.11958	0.10043
ENSG00000109099	0.39289	0.38967
ENSG00000092820	0.1529	0.14902
ENSG00000163162	0.17759	0.2802
ENSG00000119715	0.19906	0.20315
ENSG00000102804	0.09898	0.32295
ENSG00000112812	0.21166	0.22444
ENSG00000162298	0.11248	0.10255
ENSG00000134049	0.19325	0.18809
ENSG00000166831	0.11069	0.08504
ENSG00000101230	0.00346	-0.03727
ENSG00000034053	0.04733	0.05734
ENSG00000117616	0.23339	0.25149
ENSG00000147050	0.34566	0.35356
ENSG00000104763	0.11793	0.16466
ENSG00000177606	0.38615	0.39134
ENSG00000120616	0.3801	0.38999
ENSG00000149177	0.23498	0.25171
ENSG00000182087	0.18928	0.20586
ENSG00000135269	0.05247	0.12295
ENSG00000123636	0.41263	0.41563
ENSG00000167110	0.33094	0.38457
ENSG00000108262	0.11564	0.10169
ENSG00000254087	0.17956	0.21994
ENSG00000125304	0.00376	0.25028
ENSG00000109046	0.20878	0.24702
ENSG00000050405	0.31977	0.3956
ENSG00000131435	0.39325	0.40205
ENSG00000146757	0.44256	0.4408
ENSG00000127561	0.08126	0.12093
ENSG00000120738	0.00713	0.06284
ENSG00000137509	0.12856	0.12171
ENSG00000112787	0.27656	0.26366
ENSG00000125170	0.202	0.24274
ENSG00000155090	-0.00577	0.11006
ENSG00000172432	0.06584	0.05844
ENSG00000011566	0.15479	0.26642
